,Name,Model Number,SKU,Category,Number of Reviews,Rating,Price
36,Samsung - 30 cu. ft. 3-Door French Door Smart Refrigerator with Family Hub - Stainless Steel,RF32CG5900SR/AA,6546222,refrigerator,148,4.7,"2,499.99"
37,GE - 21.9 Cu. Ft. Top-Freezer Refrigerator with Garage Ready Performance from 38-110 Degrees Fahrenheit - White,GTS22KGNRWW,6399120,refrigerator,1307,4.4,749.99
38,GE - 21.8 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Stainless Steel,GZS22IYNFS,6330748,refrigerator,445,4.4,"1,399.99"
39,Whirlpool - 28.4 Cu. Ft. Side-by-Side Refrigerator with In-Door-Ice Storage - Stainless Steel,WRS588FIHZ,5811900,refrigerator,2000,4.4,"1,889.99"
40,Frigidaire - 20.0 Cu. Ft Single-Door Refrigerator - White,FRAE2024AW,6537100,refrigerator,36,4.3,949.99
41,Whirlpool - 20.5 Cu. Ft. Top-Freezer Refrigerator - White,WRT311FZDW,8982107,refrigerator,3282,4.4,739.99
42,GE Profile - 28 Cu. Ft. 4-Door French Door Smart Refrigerator with Fully Convertible Temperature Zone - Stainless Steel,PAD28BYTFS,6572190,refrigerator,29,4.3,"2,999.99"
43,LG - 29.5 Cu. Ft. 4-Door French Door-in-Door Smart Refrigerator with Craft Ice - Stainless Steel,LRMVS3006S,6397176,refrigerator,917,4.5,"3,199.99"
44,GE - 22.1 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless Steel,GYE22GYNFS,6403422,refrigerator,190,3.9,"2,199.99"
45,Frigidaire - 21.5 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator - Stainless Steel,GRMC2273CF,6533166,refrigerator,130,4.5,"2,099.99"
46,GE - 25.3 Cu. Ft. Side-by-Side Refrigerator with External Ice & Water Dispenser - Stainless Steel,GSS25GYPFS,6475453,refrigerator,117,4.3,"1,199.99"
47,Haier - 16.8 Cu. Ft. 4-Door French Door Counter Depth Refrigerator with LED Lighting - Stainless Steel,QHE16HYPFS,6461196,refrigerator,90,4.5,999.99
48,KitchenAid - 27 Cu. Ft. French Door Refrigerator with External Water and Ice Dispenser - Stainless Steel,KRFF577KPS,6534858,refrigerator,348,4.4,"2,899.99"
49,Frigidaire - 20 Cu. Ft. Top-Freezer Refrigerator - Stainless Steel,FFTR2045VS,6398910,refrigerator,379,4.5,729.99
50,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - White,GTS17DTNRWW,6361278,refrigerator,419,4.4,599.99
51,Frigidaire - 22.3 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Silver,FRSC2333AS,6448440,refrigerator,26,4.2,"1,199.99"
52,Samsung - Bespoke 29 Cu. Ft. 4-Door Flex French Door Refrigerator with Beverage Zone and Auto Open Door - White Glass,RF29DB970012AA,6571690,refrigerator,51,4.5,"2,599.99"
53,Whirlpool - 19.7 Cu. Ft. French Door Refrigerator - Stainless Steel,WRF560SEHZ,6260429,refrigerator,882,4.2,"1,899.99"
54,Whirlpool - 21.4 Cu. Ft. Side-by-Side Refrigerator with Fingerprint Resistant - Stainless Steel,WRS321SDHZ,6076924,refrigerator,2128,4,"1,199.99"
55,GE Profile - 27.9 Cu. Ft. 4-Door French Door Smart Refrigerator with Door-In-Door - Stainless Steel,PVD28BYNFS,6368988,refrigerator,809,4.3,"2,799.99"
56,Whirlpool - 25.2 Cu. Ft. French Door Refrigerator with Internal Water Dispenser - Stainless Steel,WRF535SWHZ,5789904,refrigerator,1889,4.5,699.99
57,LG - 17.5 Cu. Ft. Garage Ready Top-Freezer Refrigerator with Reversible Doors - Stainless Steel,LT18S2100S,6573585,refrigerator,20,4.7,649.99
58,GE - 17.5 Cu. Ft. Top-Freezer Refrigerator - White,GTS18HGNRWW,6390228,refrigerator,326,4.4,"2,699.99"
59,LG - Counter-Depth MAX 25.5 Cu. Ft. French Door Smart Refrigerator with Four Kinds of Ice - Stainless Steel,LRYXC2606S,6532711,refrigerator,248,4.6,"2,199.99"
60,Whirlpool - 26.8 Cu. Ft. French Door Refrigerator - Stainless Steel,WRF757SDHZ,6260426,refrigerator,1072,4.3,629.99
61,Whirlpool - 11.6 Cu. Ft. Top-Freezer Counter-Depth Refrigerator - Stainless Steel,WRT112CZJZ,6391374,refrigerator,410,3.3,989.99
62,Samsung - 21.1 cu. ft. Top-Freezer Refrigerator with FlexZone - Stainless Steel,RT21M6215SR,5796734,refrigerator,816,4.5,"3,999.99"
63,KitchenAid - 26 cu. ft. French Door Refrigerator with Ice and Water Dispenser - Stainless Steel,KRMF536RPS,6575128,refrigerator,20,4.5,"1,499.99"
64,GE - 24.7 Cu. Ft. French Door Refrigerator - Stainless Steel,GNE25JYKFS,6475413,refrigerator,103,4.2,"2,999.99"
65,LG - Counter-Depth MAX 25.5 Cu. Ft. French Door Smart Refrigerator with Mirror InstaView - Stainless Steel,LRYKC2606S,6532704,refrigerator,294,4.7,"1,299.99"
66,Frigidaire - Gallery 22.3 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Silver,GRSC2352AF,6448442,refrigerator,194,4.2,"1,799.99"
67,Samsung - BESPOKE 30 cu. ft. 3-Door French Door Smart Refrigerator with AutoFill Water Pitcher - Stainless Steel,RF30BB6200QL/AA,6493500,refrigerator,646,4.5,"1,199.99"
68,Frigidaire - 17.4 Cu. Ft. 4-Door French Door Refrigerator - Stainless Steel,FRQG1721AV,6470604,refrigerator,59,4.6,"1,399.99"
69,Whirlpool - 21.9 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,WRB322DMBM,3928039,refrigerator,1120,4.4,"1,699.99"
70,Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Stainless Steel,WRS571CIHZ,6136704,refrigerator,1250,4.2,"1,199.99"
71,"Maytag - 25 Cu. Ft. Side-by-Side Freestanding Refrigerator, Fingerprint Resistant - Stainless Steel",MSS25N4MKZ,6422491,refrigerator,57,4.2,"2,499.99"
72,LG - 22.7 Cu. Ft. 4-Door French Door Counter-Depth Refrigerator with Double Freezer - Stainless Steel,LMWC23626S,6397178,refrigerator,775,4.6,"2,899.99"
73,KitchenAid - 27 Cu. Ft. French Door Refrigerator with External Water and Ice Dispenser - Stainless Steel,KRFF577KPS,6534858,refrigerator,348,4.4,"2,799.99"
74,Samsung - BESPOKE 30 cu. ft 3-Door French Door Smart Refrigerator with Family Hub - Gray Glass,RF30BB69006M/AA,6493531,refrigerator,222,4.7,699.99
75,Frigidaire - 20.0 Cu. Ft. Top Freezer Refrigerator - Stainless Steel,FFHT2022AS,6578034,refrigerator,12,3.4,"1,899.99"
76,KitchenAid - 27 Cu. Ft. French Door Refrigerator - Stainless Steel,KRFF507HPS,6260435,refrigerator,833,4.2,"1,799.99"
77,LG - Standard-Depth MAX 31.7 Cu. Ft. French Door Smart Refrigerator with Internal Water Dispenser - Stainless Steel,LRFLS3206S,6553174,refrigerator,121,4.6,443.99
78,LG - 5.79 Cu. Ft. Top-Freezer Refrigerator with Semi Auto Defrost - Platinum Silver,LRONC0605V,6511554,refrigerator,85,4.7,"1,777.99"
79,LG - 25.1 Cu. Ft. French Door Refrigerator with Ice Maker - Stainless Steel,LRFCS25D3S,6423065,refrigerator,722,4.6,"1,721.99"
80,LG - 27.2 Cu. Ft. Side-by-Side Refrigerator with SpacePlus Ice - Stainless Steel,LRSXS2706S,6468486,refrigerator,1376,4.5,"1,554.99"
81,LG - 27.6 Cu. Ft. Side-by-Side Smart Refrigerator - Stainless Steel,LRSWS2806S,6532728,refrigerator,74,4.7,"2,599.99"
82,GE Profile - 28.7 Cu. Ft. 4 Door French Door Refrigerator with Dual-Dispense AutoFill Pitcher - Stainless Steel,PGE29BYTFS,6546681,refrigerator,81,4.6,"1,699.99"
83,Samsung - BESPOKE 30 cu. ft. French Door Smart Refrigerator with AutoFill Water Pitcher - White Glass,RF30BB620012/AA,6493503,refrigerator,646,4.5,"2,221.99"
84,LG - 29 Cu. Ft. 3-Door French Door Smart Refrigerator with Ice Maker and External Water Dispenser - Black Stainless Steel,LRFWS2906D,6447110,refrigerator,1136,4.5,"2,399.99"
85,LG - 26.9 Cu. Ft. 4-Door French Door Refrigerator with Internal Water Dispenser - Stainless Steel,LMWS27626S,6395326,refrigerator,408,4.6,"1,599.99"
86,Haier - 15.0 Cu. Ft. 4-Door French Door Free-Standing Refrigerator - Stainless Steel,QJS15HYRFS,6494084,refrigerator,108,4.5,599.99
87,Insignia™ - 17 Cu. Ft. Garage Ready Convertible Upright Freezer with ENERGY STAR Certification - White,NS-UZ17WH0,6336449,refrigerator,2762,4.7,"1,619.99"
88,GE - ® ENERGY STAR® 17.7 Cu. Ft. Bottom-Freezer Refrigerator - Stainless Steel,GBE17HYRFS,6475364,refrigerator,41,4.4,"1,799.99"
89,LG - Counter-Depth MAX 26.5 Cu. Ft. French Door Smart Refrigerator with Internal Water - Stainless Steel,LRFLC2706S,6511564,refrigerator,625,4.7,259.99
90,Frigidaire - 4.5 Cu. Ft. Mini Fridge - Silver,FFPS4533UM,6257844,refrigerator,967,4.2,"2,299.99"
91,KitchenAid - 19.4 Cu. Ft. Bottom-Freezer 4-Door French Door Refrigerator - Stainless Steel,KRQC506MPS,6534852,refrigerator,53,4.6,"1,599.99"
